,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
0,Namo Sandwich,Sudama Nagar,Fast Food,500,4.3
1,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
2,Shree Gurukripa,Sarwate Bus Stand,North Indian,350,4.3
3,Nafees Restaurant,Old Palasia,"North Indian, Mughlai",800,4.3
4,Hotel Guru Kripa,Sarwate Bus Stand,North Indian,350,4.3
5,Shree Gurukripa,Vijay Nagar,North Indian,500,4.1
6,Hotel Guru Kripa Avenue,Sarwate Bus Stand,North Indian,350,4.1
7,Maa Ki Rasoi,Sudama Nagar,"North Indian, South Indian",450,4.1
8,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
9,Dutt Guru Kripa,South Tukoganj,"North Indian, Fast Food",450,4.1
10,Oye24,HIG-LIG,"North Indian, Chinese",250,4.1
11,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
12,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
13,Sagar Gaire,New Palasia,"South Indian, North Indian, Fast Food",450,4.1
14,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta","Pizza, Fast Food",400,3.9
15,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
16,Hotel Rajhans,Sarafa Bazaar,North Indian,400,4
17,Hotel Zakir,Khajrana,North Indian,300,4.1
18,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
19,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
20,Domino's Pizza,Old Palasia,"Pizza, Fast Food",400,3.9
21,99 Rotiwala,HIG-LIG,North Indian,500,4.2
22,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
23,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
24,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
25,Hotel Madni Darbar,Sarwate Bus Stand,North Indian,300,3.9
26,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
27,Domino's Pizza,Vijay Nagar,"Pizza, Fast Food",400,3.8
28,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
29,Singh Sahab,Sapna Sangeeta,"North Indian, Chinese",600,3.9
30,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
31,Mangosteen Cafe,New Palasia,Cafe,800,4
32,KFC,"Malhar Mega Mall, Vijay Nagar","Burger, Fast Food",450,4
33,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
34,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
35,Dilli Darbar Family Restaurant,Old Palasia,"Chinese, North Indian",750,3.9
36,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
37,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
38,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,"North Indian, Chinese",400,3.9
39,Pishori Restaurant,Sapna Sangeeta,"North Indian, Chinese, Mughlai",800,4
40,Banana Leaf,"Malhar Mega Mall, Vijay Nagar","South Indian, North Indian",800,4.3
41,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
42,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
43,Patissez,Vijay Nagar,"Continental, Desserts",1000,4.3
44,Shiva Chinese Wok,Old Palasia,"Chinese, Fast Food",300,4.1
45,Old Kolkata Roll Club,New Palasia,"Chinese, Rolls",250,4.1
46,Tinku Everfresh,Vijay Nagar,"Sandwich, Fast Food, Beverages",450,4.2
47,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
48,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
49,KFC,RNT Marg,"Burger, Fast Food",450,3.8
50,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
51,Guru Kripa,Rau,North Indian,300,3.9
52,Just Paratha,Bhawar Kuan,"North Indian, Fast Food",250,4
53,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
54,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
55,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
56,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
57,Tinku's,Bhawar Kuan,"Sandwich, Fast Food, Beverages",450,4
58,Oye24,Manik Bagh Road,"North Indian, Chinese",250,3.7
59,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
60,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
61,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
62,Pizza Hut,Sapna Sangeeta,"Pizza, Fast Food, Italian",700,3.6
63,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
64,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
65,Hotel Shree Leela,Sapna Sangeeta,North Indian,400,3.8
66,Chill Baby,Old Palasia,"Fast Food, Chinese, Pizza",400,3.9
67,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
68,JMB,Manik Bagh Road,"Chinese, Fast Food, Desserts",400,4.1
69,Chick N Serve,Khajrana,"Lebanese, North Indian, Chinese",800,4.1
70,Pizza Hut,"Malhar Mega Mall, Vijay Nagar","Pizza, Fast Food, Italian",700,3.3
71,Food 4 Foodie,HIG-LIG,"North Indian, Fast Food",450,3.7
72,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
73,Ravi Alpahar,Old Palasia,Street Food,100,4.3
74,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
75,Shree Leela Dal Bafle,Sarwate Bus Stand,North Indian,200,3.9
76,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
77,Behrouz Biryani,Old Palasia,"Biryani, North Indian, Mughlai",700,4.4
78,Sheetal Restaurant,Sudama Nagar,"North Indian, South Indian",600,3.9
79,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
80,Oiya,New Palasia,Cafe,600,4.4
81,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
82,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
83,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
84,Tinku's,YN Road,"Sandwich, Fast Food, Beverages",450,4.2
85,Little Monk,MR 10 Road,"North Indian, Italian, Chinese",1000,4.2
86,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
87,Johny Hot Dog,"56 Dukan, New Palasia",Fast Food,200,4.3
88,Domino's Pizza,Rajendra Nagar,"Pizza, Fast Food",400,3.8
89,JAL - A Jungle Restaurant,Bhawar Kuan,"North Indian, Chinese",850,4.2
90,Foobae,Old Palasia,"Burger, Beverages, Fast Food, Desserts",300,4.1
91,Singh Restaurant,Vijay Nagar,"North Indian, Chinese",500,3.8
92,Dilli Da Roll,New Palasia,Rolls,400,4.4
93,Sam's Momos,"56 Dukan, New Palasia","Chinese, North Indian, Fast Food",500,3.9
94,Pind Balluchi,Vijay Nagar,North Indian,1000,3.9
95,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
96,Via Indore,New Palasia,North Indian,550,3.6
97,Delicious Hut,HIG-LIG,North Indian,300,4.1
98,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
99,Behrouz Biryani,"Mangal City Mall, Vijay Nagar","Biryani, North Indian, Mughlai",700,4.4
100,Ethyl Bar - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar",Finger Food,2600,4.2
101,Mediterra - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Mediterranean, Italian",2500,4.5
102,Twilight - Hotel WOW,"Hotel Wow, Vijay Nagar",Bar Food,2400,4.3
103,The Creative Kitchen - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","North Indian, Continental, Mexican, Italian",2000,4.1
104,One Asia - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Chinese, Asian",2000,4.5
105,F Bar & Kitchen,Vijay Nagar,"Continental, North Indian",2000,3.6
106,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
107,Jonathan's Kitchen,By Pass Road (North),"North Indian, Italian",1900,4.1
108,5/78 Skybar,Vijay Nagar,"Japanese, Asian, Mexican, Italian",1875,4.2
109,Ni Hao - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","Asian, Chinese, Momos",1850,4.6
110,Indiya Oye - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","North Indian, Kashmiri",1850,4.3
111,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
112,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
113,KYRO,Bhawar Kuan,"North Indian, Chinese, Continental, Mediterranean, Asian",1800,3.7
114,Constellation - Hotel WOW,"Hotel Wow, Vijay Nagar","North Indian, Asian, Italian",1800,4.2
115,Sky Blue Sports Bar,"C21 Mall, Vijay Nagar","Finger Food, North Indian, Chinese, Mughlai",1800,3.3
116,Sanchi - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese",1800,4.3
117,Not So Desi,Vijay Nagar,North Indian,1600,3.7
118,Mr & Mrs Somani - The Grand Bhagwati,The Grand Bhagwati,North Indian,1600,4.4
119,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
120,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
121,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
122,Shosha Cafebar,Vijay Nagar,"North Indian, Mexican, Italian",1500,4
123,Vidorra,Old Palasia,"North Indian, Chinese",1500,4.1
124,Chopstick City - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",Chinese,1500,4.5
125,Farzi Caf�,Vijay Nagar,"North Indian, Continental",1500,4.2
126,"#1, Culinary Avenue - The Red Maple","The Red Maple Mashal, Rau","North Indian, Chinese, Continental",1500,3.9
127,Cafe Piano - The Grand Bhagwati,The Grand Bhagwati,"North Indian, Italian",1500,4.1
128,Kava - Fairfield by Marriott,Fairfield By Marriott,"North Indian, Asian, Italian",1500,3.8
129,54 Praangan - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Awadhi, North Indian",1500,4.4
130,Indore Baking Company - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",Bakery,1500,4.4
131,Calypso,"C21 Mall, Vijay Nagar","North Indian, Chinese, Continental",1500,3.9
132,The Beer Cafe,Vijay Nagar,"Finger Food, Bar Food, Pizza",1500,4
133,Good Old Days - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Asian, Street Food",1500,4.2
134,Agent Jack's Bar,Vijay Nagar,"Italian, North Indian",1500,4
135,Tipsy Tales Bar Terminal,Vijay Nagar,"Chinese, Italian, Continental",1500,3.5
136,Level 3,"Mangal City Mall, Vijay Nagar","North Indian, Finger Food, Mughlai",1500,3.4
137,Mirchi and Mime,South Tukoganj,"North Indian, Mughlai",1500,4
138,Trance The Pub,Vijay Nagar,"North Indian, Finger Food",1500,3.9
139,The Eighteen Fine Dine Lounge,Vijay Nagar,"North Indian, Continental, Modern Indian",1500,4.1
140,Dakku,New Palasia,"North Indian, Mughlai, Chinese, Fast Food",1500,3.5
141,Glazz,New Palasia,"North Indian, Italian",1500,3.2
142,Courtyard - Crescent Spa & Resorts,Crescent Spa & Resorts,"North Indian, Chinese",1500,4
143,Quorum - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Finger Food, North Indian, Continental",1500,3.7
144,High Ball - Hotel Best Western Plus,"Hotel Best Western Plus O2, South Tukoganj","Finger Food, North Indian",1500,3.8
145,Ego,Old Palasia,"North Indian, Chinese",1500,3.8
146,Diamante - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Continental, North Indian, Finger Food",1500,3.7
147,99 Degrees & Rising - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Pizza, Continental",1500,3.8
148,Addiction Rooftop Bar By Solaris,Bhawar Kuan,North Indian,1500,3.6
149,Slounge - Lemon Tree Hotel,"Lemon Tree Hotel, RNT Marg",Finger Food,1500,3.6
150,Osmium Lounge,"Sapna Sangeeta Mall, Sapna Sangeeta","North Indian, Chinese, Bar Food, Asian",1500,3.4
151,Brix & Barrels,Bhawar Kuan,"North Indian, Mughlai, Continental",1500,3.1
152,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
153,Stars N Sky,"Infiniti Hotel, Vijay Nagar","North Indian, Chinese, Mughlai",1400,4.6
154,Opium Bar By The Roof,"Infiniti Hotel, Vijay Nagar","Finger Food, North Indian",1400,4.4
155,Little Italy,Vijay Nagar,"Italian, Mexican",1400,4.5
156,Golden Oven,"Hotel Best Western Plus O2, South Tukoganj","North Indian, Chinese, Continental",1400,3.7
157,Spiritual Pub & Restaurant,Rau,"North Indian, Chinese, Italian, Continental",1400,3.4
158,Big Shot Bar - Country Inn & Suites by Radisson,"Country Inn & Suites By Radisson, Vijay Nagar",Bar Food,1400,3.2
159,Beeji Restaurant,Kothari Market,"North Indian, Chinese",1400,3.6
160,Classic Bar & Restaurant,YN Road,"North Indian, Chinese",1400,3.3
161,Lancer Cocktail Lounge,"Hotel Crown Palace, South Tukoganj","North Indian, Mughlai, Continental, Chinese",1400,3.3
162,Signature Boutique Hotel,By Pass Road (North),"North Indian, Chinese",1400,3
163,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
164,Hill's View - Papaya Tree Hotel,Papaya Tree Hotel,"North Indian, Chinese, Italian",1300,4.4
165,Echidna Restobrew,By Pass Road (North),"Mediterranean, Asian, North Indian",1300,3.5
166,Quenchyard,By Pass Road (South),"North Indian, Chinese",1300,4.1
167,The Cliff Restaurant & Bar,Vijay Nagar,"North Indian, Chinese",1300,2.5
168,Zest - Papaya Tree Hotel,Papaya Tree Hotel,"North Indian, Chinese, Italian",1300,3.8
169,Salt and Pepper,"Hotel Amar Vilas, Press Complex","North Indian, Chinese, Continental",1300,3.4
170,Couple Lounge,"Hotel Amar Vilas, Press Complex","North Indian, Chinese, Continental",1300,3.7
171,Jonathan's Grill & Barbeque,By Pass Road (North),"North Indian, BBQ",1300,3.8
172,White House,Old Palasia,"North Indian, Chinese",1300,3.4
173,Boozer's Bar,Sudama Nagar,"North Indian, Chinese",1300,3.3
174,Sapna Bar And Restaurant,Mari Mata Square,North Indian,1300,3
175,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
176,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
177,Fagun Restaurant,Vijay Nagar,"North Indian, Continental, Chinese",1200,4.3
178,Capers - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Italian, Chinese, Continental",1200,4.5
179,Hotel Shreemaya Residency,"Hotel Shreemaya Residency, Press Complex","North Indian, Chinese, Continental",1200,4.2
180,The Piano Project,Vijay Nagar,"North Indian, Mughlai",1200,4.3
181,City Gymkhana Club,Sapna Sangeeta,North Indian,1200,3.9
182,Citrus Cafe,"Lemon Tree Hotel, RNT Marg","North Indian, Italian, Chinese, Cafe",1200,3.6
183,Livup Cafebar & Lounge,Vijay Nagar,"North Indian, South Indian, Chinese, Cafe, Beverages",1200,3.7
184,Mosaic - Country Inn & Suites by Radisson,"Country Inn & Suites By Radisson, Vijay Nagar","North Indian, Continental, American",1200,4
185,Hotel Kanchan,South Tukoganj,"North Indian, Chinese",1200,3.8
186,The Arch - Golden Gate,"Golden Gate, Vijay Nagar","North Indian, Chinese",1200,3.4
187,60 ML,Annapurna Road,North Indian,1200,3.7
188,Exotica The Lounge Bar - Crescent Spa & Resorts,Crescent Spa & Resorts,"Finger Food, Continental",1200,3.5
189,District 11,"Malhar Mega Mall, Vijay Nagar","North Indian, Italian, Mexican",1200,3.4
190,Shack Pool Bar & Grill - Crescent Spa & Resorts,Crescent Spa & Resorts,"North Indian, Italian, Finger Food",1200,3.7
191,The Lounge Bar - Hotel Amar Vilas,"Hotel Amar Vilas, Press Complex","North Indian, Chinese",1200,3.6
192,The Tipsy Buffalo,By Pass Road (North),"Finger Food, North Indian",1200,3.5
193,Sundown - Solaris Club,Bhawar Kuan,"North Indian, Chinese",1200,3.3
194,O2 Club & Lounge,South Tukoganj,"Chinese, North Indian, Continental",1200,3.7
195,Blue Dip - Golden Gate,"Golden Gate, Vijay Nagar","North Indian, Chinese",1200,2.9
196,Smaaash,South Tukoganj,Finger Food,1200,3.4
197,Chasers Pub & Restaurant,RNT Marg,North Indian,1200,2.8
198,Masala Craft - Regenta Central Hotel,"Regenta Central, By Pass North",North Indian,1200,3.1
200,Lal Balti Ki Kachori,Jail Road,Street Food,50,4
201,Lal Balti Ki Kachori,Rajendra Nagar,Street Food,50,3.8
204,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
205,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
206,Ravi Alpahar,Old Palasia,Street Food,100,4.3
207,Vijay Chaat House,Sarafa Bazaar,Street Food,100,4.4
208,Joshi Dahi Bada House,Sarafa Bazaar,Street Food,100,4.9
209,Swadisht Samosa Corner,Sarafa Bazaar,Street Food,100,3.9
210,Jagdeesh Sweets,Jail Road,"Street Food, Mithai",100,3.7
211,Ravi Alpahar,Kothari Market,Street Food,100,3.9
212,JSK Sweets & Restaurant,Rau,"Mithai, Street Food",100,3.7
213,Punjabi Dhaba,Bhawar Kuan,North Indian,100,3.2
214,Chanchal Namkeen,Gangwal Bus Stand,"Bakery, Mithai, Street Food",100,3.8
215,Bombay Bakery,Chhavani,"Bakery, Street Food",100,3.5
216,Sawariya Seth Khichdi,Sarafa Bazaar,North Indian,100,3.6
217,Ramesh South Indian,Bhawar Kuan,South Indian,100,3.8
218,Shubham Chinese Point,MR 10 Road,Chinese,100,3
219,Goli Vada Pav No. 1,Annapurna Road,"Street Food, Maharashtrian",100,3.3
220,Mittal Kachori,Malharganj,Fast Food,100,3.6
221,Vadilal Ice Cream,Sapna Sangeeta,"Desserts, Ice Cream",100,3.4
222,Bombay Bhel,"Malhar Mega Mall, Vijay Nagar",Street Food,100,2.8
223,Guptaji Paratha House,Bhawar Kuan,North Indian,100,3.6
224,Honey Pizza,Sarafa Bazaar,"Pizza, Fast Food",100,2.8
225,Mr. Bhel Bhandari,Malharganj,Street Food,100,3.5
226,Shreenath Fariyali Khichdi,Jail Road,North Indian,100,3
227,Tea De Pot,Ranjeet Hanuman,"Tea, Coffee",100,3.6
228,Agrawal Kachori Corner,Kothari Market,"Street Food, Fast Food",100,3.8
229,Tanishq Cafe,Old Palasia,Coffee,100,3.3
230,Shree Mahalaxmi Moong Ke Bhajiye,HIG-LIG,Fast Food,100,3.5
231,Shree Baba Sweets,Jail Road,Mithai,100,3.4
232,Dairy Junction,Annapurna Road,Beverages,100,3.3
233,Ramesh Masala Dosa,Vijay Nagar,South Indian,100,3.4
234,Baba Juice Centre,Bhawar Kuan,Street Food,100,3.5
235,Anantanand Alpahar Gruh,Jail Road,North Indian,100,3.3
236,Kachori Corner,Sarafa Bazaar,Street Food,100,3.4
237,Milap The Pan Destination,"56 Dukan, New Palasia",Paan,100,3.2
238,RL Chat Bhandar,Rajwada,Street Food,100,3.5
239,Chintu Momos,Vijay Nagar,"Tibetan, Street Food",100,3.2
240,Prem Paratha,Navlakha,North Indian,100,3.1
241,Potato Uncle,Sarafa Bazaar,Fast Food,100,3.7
242,Shree Parshwanath Pan Sadan,Khajrana,Paan,100,3
243,Agrawal Juice and Ice Cream,Sarafa Bazaar,"Ice Cream, Juices, Beverages",100,3.3
244,Mangal Sweets,Chhavani,Mithai,100,3.1
245,Shahi Khaman- Jalaram Farsan,Jail Road,Gujarati,100,3.1
246,Baba Shree Paan,Sarafa Bazaar,Paan,100,3.3
247,Agrawal Nashta,Vijay Nagar,Street Food,100,2.8
248,Shri Bharkha Devi Ice Cream,MR 10 Road,"Ice Cream, Chinese",100,3.2
249,Chintu Momos,Vijay Nagar,Momos,100,3.3
250,Goyal Fruit Juice Centre,New Palasia,Beverages,100,3.2
251,Mahadev Lassi,Manik Bagh Road,Beverages,100,3.2
252,Karnawat Bhojan Prasadi,Vijay Nagar,North Indian,100,3
253,Shree Parshwanath Pan Sadan,Vijay Nagar,Paan,100,2.8
254,Vedant Chat Chaupati,Geeta Bhavan,Street Food,100,3.2
255,Indori Chinese point,Sarafa Bazaar,Chinese,100,3
256,Bombay Bahu Chinese Point,Sarafa Bazaar,"Chinese, Fast Food",100,2.8
257,Prayas Foods,"56 Dukan, New Palasia",Street Food,100,2.8
258,Iceland Vadilal,Annapurna Road,"Desserts, Ice Cream",100,2.7
259,Jail Cafe Chai Bar,Mari Mata Square,Fast Food,100,3.3
260,Pooja Kanchan Pan,Khajrana,Paan,100,3.5
261,Bholainath Fariyali Khichdi Center,Geeta Bhavan,"Sandwich, Fast Food, North Indian",100,3.1
262,Shree Parshwanath Pan Sadan,YN Road,Paan,100,3.2
263,Sai Kripa Refreshment,Sudama Nagar,"Fast Food, Street Food, South Indian, Bakery",100,3
266,Bombay Refreshment,Sarafa Bazaar,Street Food,100,3.1
268,Salasar Snacks By Kharab Chai,Gangwal Bus Stand,Street Food,100,3
269,Jai Bajrang Bombay Bhel,Vijay Nagar,Street Food,100,2.9
270,Hot Point (The Royal Omlette),Vijay Nagar,Street Food,100,3.3
271,Hot Point (The Royal Omlette),Vijay Nagar,Street Food,100,3.1
272,Chintu Veg Momos,Vijay Nagar,Momos,100,3
275,Baba Nariyal Pani,Annapurna Road,Beverages,100,3.1
277,Jai Shree Mahakal Juice Center,Geeta Bhavan,"Beverages, Juices",100,3.1
278,Baba Nariyal Pani,Sarafa Bazaar,Beverages,100,3.3
279,Veg Bites,Vijay Nagar,Fast Food,100,3
281,Amrit Shri Ice Cream Parlour,Vijay Nagar,"Ice Cream, Desserts",100,2.9
282,Jai Ranjeet Gajak Bhandar,Annapurna Road,Mithai,100,3.1
283,Babu Bakery and Dudh Dairy,Rau,"Bakery, Desserts",100,3
284,Choice Namkeen,Airport Road,Street Food,100,2.9
285,Choice Namkeen,By Pass Road (North),Street Food,100,3.1
287,Jai Bajrang Bombay Bhel,New Palasia,Street Food,100,2.9
288,Jay Mahakal Aloo Paratha,Vijay Nagar,North Indian,100,3
289,Chai Network,Vijay Nagar,"Beverages, Fast Food",100,3
292,Anil Cafe,HIG-LIG,Street Food,100,3.1
295,Shree Balaji Juice Centre,Vijay Nagar,"Juices, Beverages",100,3
300,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Bar Food",1500,4.9
301,Joshi Dahi Bada House,Sarafa Bazaar,Street Food,100,4.9
302,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Chinese, Italian",1200,4.8
303,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
304,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1800,4.7
305,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
306,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
307,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1100,4.6
308,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
309,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
310,Chang's Legacy,Vijay Nagar,"Chinese, North Indian",800,4.6
311,Stars N Sky,"Infiniti Hotel, Vijay Nagar","North Indian, Chinese, Mughlai",1400,4.6
312,Simi's,Vijay Nagar,"Bakery, Desserts",300,4.6
313,Ni Hao - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar","Asian, Chinese, Momos",1850,4.6
314,Masters Bakery Krozzon,Vijay Nagar,"Bakery, Fast Food",850,4.6
315,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
316,Johny Hot Dog,"56 Dukan, New Palasia","Fast Food, Street Food",150,4.5
317,Shreemaya Celebrity,"Hotel Shreemaya Residency, Press Complex","North Indian, South Indian, Italian, Chinese, Street Food",500,4.5
318,Little Italy,Vijay Nagar,"Italian, Mexican",1400,4.5
319,Capers - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Italian, Chinese, Continental",1200,4.5
320,Mediterra - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Mediterranean, Italian",2500,4.5
321,Chopstick City - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",Chinese,1500,4.5
322,South Avenue,South Tukoganj,North Indian,1000,4.5
323,One Asia - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Chinese, Asian",2000,4.5
324,The Monroe,New Palasia,"Italian, Chinese, North Indian",900,4.4
325,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
326,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
327,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","North Indian, Italian, Asian, Fast Food",1800,4.4
328,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
329,The GroundBaking Co.,Vijay Nagar,"Pizza, Continental, Beverages",600,4.4
330,Behrouz Biryani,Old Palasia,"Biryani, North Indian, Mughlai",700,4.4
331,Oiya,New Palasia,Cafe,600,4.4
332,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg","North Indian, Mughlai, Chinese",1100,4.4
333,Mukki Ke Zayke,Sapna Sangeeta,Fast Food,150,4.4
334,Dilli Da Roll,New Palasia,Rolls,400,4.4
335,Behrouz Biryani,"Mangal City Mall, Vijay Nagar","Biryani, North Indian, Mughlai",700,4.4
336,Hill's View - Papaya Tree Hotel,Papaya Tree Hotel,"North Indian, Chinese, Italian",1300,4.4
337,Vijay Chaat House,Sarafa Bazaar,Street Food,100,4.4
338,Opium Bar By The Roof,"Infiniti Hotel, Vijay Nagar","Finger Food, North Indian",1400,4.4
339,Veera Di Hatti,Sapna Sangeeta,North Indian,250,4.4
340,Atul Sandwich And Cafe,Old Palasia,Fast Food,200,4.4
341,54 Praangan - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Awadhi, North Indian",1500,4.4
342,Indore Baking Company - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",Bakery,1500,4.4
