,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
1240,Ginger Ganesha,"Treasure Island Mall, South Tukoganj",South Indian,400,2.6
1241,Cafe Bollywood,RNT Marg,"Fast Food, Chinese, South Indian",400,2.8
1242,Sarika's Rasoi,Gangwal Bus Stand,Street Food,150,3.1
1243,Spicyka,Vijay Nagar,"North Indian, Chinese, Fast Food, South Indian",400,3
1247,Ajanta Sandwich,Sarafa Bazaar,"Sandwich, Fast Food",200,3.7
1248,Bombay Bhel,"Malhar Mega Mall, Vijay Nagar",Street Food,100,2.8
1249,Honey Pizza,Sarafa Bazaar,"Pizza, Fast Food",100,2.8
1250,Prakash Kulfi And Faluda,Sarafa Bazaar,"Desserts, Ice Cream",200,3.7
1251,Tea De Pot,Ranjeet Hanuman,"Tea, Coffee",100,3.6
1252,Momos & Rolls,Sarafa Bazaar,Momos,200,2.9
1253,Potato Uncle,Sarafa Bazaar,Fast Food,100,3.7
1254,Agra Chaat,Sarafa Bazaar,Street Food,200,3.3
1255,Indori Chinese point,Sarafa Bazaar,Chinese,100,3
1256,Bombay Bahu Chinese Point,Sarafa Bazaar,"Chinese, Fast Food",100,2.8
1257,Cafe 8 o'Clock,New Palasia,"Fast Food, Sandwich",350,3.1
1258,Bombay Refreshment,Sarafa Bazaar,Street Food,100,3.1
1259,Sanjay Egg Centre,New Palasia,Street Food,200,3.1
1263,Tic Tac Toe,Vijay Nagar,"North Indian, Chinese, Fast Food",1200,4.4
1264,Taberna - The Cafe Bar,Vijay Nagar,"Italian, North Indian, Chinese",1400,4.4
1265,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
1266,Mama Loca,New Palasia,"Continental, Italian",1100,4.3
1267,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar","Continental, Italian, North Indian",1950,4.6
1268,Bollywood Theka,"Infiniti Hotel, Vijay Nagar","North Indian, Fast Food, Finger Food",1300,4.4
1269,Stars N Sky,"Infiniti Hotel, Vijay Nagar","North Indian, Chinese, Mughlai",1400,4.6
1270,Hill's View - Papaya Tree Hotel,Papaya Tree Hotel,"North Indian, Chinese, Italian",1300,4.4
1271,Shosha Cafebar,Vijay Nagar,"North Indian, Mexican, Italian",1500,4
1272,Vidorra,Old Palasia,"North Indian, Chinese",1500,4.1
1273,Cream Centre,Vijay Nagar,"North Indian, Italian, Mexican",900,3.9
1274,KYRO,Bhawar Kuan,"North Indian, Chinese, Continental, Mediterranean, Asian",1800,3.7
1275,Pitchers Cafebar,Vijay Nagar,"North Indian, Italian, Fast Food",1000,4
1276,Echidna Restobrew,By Pass Road (North),"Mediterranean, Asian, North Indian",1300,3.5
1277,Effe Cafe,Papaya Tree Hotel,Cafe,800,4
1278,Kava - Fairfield by Marriott,Fairfield By Marriott,"North Indian, Asian, Italian",1500,3.8
1279,Not So Desi,Vijay Nagar,North Indian,1600,3.7
1280,Twilight - Hotel WOW,"Hotel Wow, Vijay Nagar",Bar Food,2400,4.3
1281,Go Bananas - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","Italian, Mexican",1000,4.1
1282,54 Praangan - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar","Awadhi, North Indian",1500,4.4
1283,Mad-eira - The Sensation Hotel,The Sensation Hotel - Rajendra Nagar,"North Indian, Chinese",700,3.6
1284,Quenchyard,By Pass Road (South),"North Indian, Chinese",1300,4.1
1285,Hangover The Gastro Pub,Vijay Nagar,"North Indian, Italian",1000,4.3
1286,The Beer Cafe,Vijay Nagar,"Finger Food, Bar Food, Pizza",1500,4
1287,F Bar & Kitchen,Vijay Nagar,"Continental, North Indian",2000,3.6
1288,The Cliff Restaurant & Bar,Vijay Nagar,"North Indian, Chinese",1300,2.5
1289,Ozone Wine & Dine,Khajrana,"North Indian, Continental, Fast Food",900,3.4
1290,5/78 Skybar,Vijay Nagar,"Japanese, Asian, Mexican, Italian",1875,4.2
